Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
B0V0T3;A2ACR1;P28065-2;P28065;B0V0T2;A2ACR0	B0V0T3;A2ACR1;P28065-2;P28065	3;3;3;3;1;1	3;3;3;3;1;1	3;3;3;3;1;1	Proteasome subunit beta type;Proteasome subunit beta type-9	PSMB9	>tr|B0V0T3|B0V0T3_HUMAN Proteasome subunit beta type OS=Homo sapiens GN=PSMB9 PE=3 SV=1;>tr|A2ACR1|A2ACR1_HUMAN Proteasome subunit beta type OS=Homo sapiens GN=PSMB9 PE=3 SV=1;>sp|P28065-2|PSB9_HUMAN Isoform LMP2.S of Proteasome subunit beta type-9 OS=Homo	6	3	3	3	15.8	15.8	15.8	20.941	196	196;196;209;219;131;131	3.7823E-12	2.0358	1.7868	10.324	2	30680000	15720000	14961000				10	3531;11279;11667	True;True;True	3538;11299;11687	4174;4175;13520;13968	7521;7522;7523;24652;24653;25466	7521;24653;25466		
P10321;A2AEA2;A2AEA4;F5GXA6	P10321;A2AEA2;A2AEA4;F5GXA6	11;11;11;11	3;3;3;3	1;1;1;1	HLA class I histocompatibility antigen, Cw-7 alpha chain	HLA-C	>sp|P10321|1C07_HUMAN HLA class I histocompatibility antigen, Cw-7 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=3;>tr|A2AEA2|A2AEA2_HUMAN HLA class I histocompatibility antigen, Cw-14 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2;>tr|A2AEA4|A2AEA4_HUMAN H	4	11	3	1	35.8	11.7	4.4	40.648	366	366;372;397;403	2.0844E-138	1.0262	0.97385	179.29	8	240790000	105100000	135700000				11	870;871;1450;1451;3273;4472;9224;10085;10374;11938;12312	False;False;False;False;True;False;False;False;True;True;False	874;875;1455;1456;3280;4481;9238;10103;10393;11957;12332	1032;1033;1721;1722;1723;3875;3876;5350;11031;12021;12022;12408;12409;12410;12411;12412;12413;12414;14292;14764;14765	1867;1868;3103;3104;3105;3106;3107;3108;3109;3110;3111;3112;3113;6976;6977;9742;19916;21719;21720;21721;21722;22462;22463;22464;22465;22466;22467;22468;22469;22470;22471;22472;22473;22474;22475;22476;22477;22478;22479;26063;26064;26065;26943;26944;26945;26946	1867;1868;3105;3106;6976;9742;19916;21720;22472;26064;26944		
A2BDY9;P30459;P10314	A2BDY9;P30459;P10314	10;10;10	2;2;2	0;0;0	HLA class I histocompatibility antigen, A-74 alpha chain;HLA class I histocompatibility antigen, A-32 alpha chain	HLA-A	>tr|A2BDY9|A2BDY9_HUMAN HLA class I histocompatibility antigen, A-68 alpha chain OS=Homo sapiens GN=HLA-A PE=2 SV=1;>sp|P30459|1A74_HUMAN HLA class I histocompatibility antigen, A-74 alpha chain OS=Homo sapiens GN=HLA-A PE=2 SV=1;>sp|P10314|1A32_HUMAN HLA 	3	10	2	0	39.5	9.7	0	34.321	299	299;365;365	1.6054E-154	4.1237	3.5664	13.707	4	54891000	12954000	41936000				12	868;1450;1451;3256;9224;10084;10361;11946;12194;12312	False;False;False;False;False;False;True;True;False;False	872;1455;1456;3263;9238;10102;10379;10380;11965;12214;12332	1030;1721;1722;1723;3857;11031;12019;12020;12386;12387;12388;12389;14301;14624;14764;14765	1860;1861;1862;1863;1864;3103;3104;3105;3106;3107;3108;3109;3110;3111;3112;3113;6945;6946;19916;21717;21718;22421;22422;22423;22424;22425;22426;22427;22428;22429;26083;26681;26943;26944;26945;26946	1863;3105;3106;6946;19916;21718;22424;26083;26681;26944	0	213
H0Y5G7;A2RRP1-2;A2RRP1	H0Y5G7;A2RRP1-2;A2RRP1	2;2;2	2;2;2	2;2;2	Neuroblastoma-amplified sequence	NBAS	>tr|H0Y5G7|H0Y5G7_HUMAN Neuroblastoma-amplified sequence (Fragment) OS=Homo sapiens GN=NBAS PE=4 SV=1;>sp|A2RRP1-2|NBAS_HUMAN Isoform 2 of Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS;>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Ho	3	2	2	2	2.5	2.5	2.5	160.41	1419	1419;2251;2371	0.0001165	NaN	NaN	NaN	0	2185700	0	2185700				13	1172;1484	True;True	1177;1489	1385;1764	2503;3186	2503;3186		
A3KMH1-2;A3KMH1-3;A3KMH1;E2QRD0	A3KMH1-2;A3KMH1-3;A3KMH1;E2QRD0	2;2;2;1	2;2;2;1	2;2;2;1	von Willebrand factor A domain-containing protein 8	VWA8	>sp|A3KMH1-2|VWA8_HUMAN Isoform 2 of von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8;>sp|A3KMH1-3|VWA8_HUMAN Isoform 3 of von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8;>sp|A3KMH1|VWA8_HUMAN von Will	4	2	2	2	3.8	3.8	3.8	116.94	1039	1039;1872;1905;1809	0.00010326	NaN	NaN	NaN	1	12592000	2114400	10478000				14	1662;8340	True;True	1667;8353	1974;10006	3550;3551;18027	3550;18027		
P20839-2;P20839-4;C9J381;P20839;E7EQS0;P20839-3;C9JV30;J3KNX8;A4D0Z6	P20839-2;P20839-4;C9J381;P20839;E7EQS0;P20839-3;C9JV30;J3KNX8;A4D0Z6	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase 1	IMPDH1	>sp|P20839-2|IMDH1_HUMAN Isoform 2 of Inosine-5-monophosphate dehydrogenase 1 OS=Homo sapiens GN=IMPDH1;>sp|P20839-4|IMDH1_HUMAN Isoform 4 of Inosine-5-monophosphate dehydrogenase 1 OS=Homo sapiens GN=IMPDH1;>tr|C9J381|C9J381_HUMAN Inosine-5-monophospha	9	1	1	1	2.5	2.5	2.5	52.597	489	489;509;513;514;530;563;566;589;599	0.0029648	NaN	NaN	NaN	1	8508600	4394500	4114200				15	4821	True	4830	5784	10538;10539	10538		
C9J7I0;A4D104	C9J7I0;A4D104	1;1	1;1	1;1		LOC401307	>tr|C9J7I0|C9J7I0_HUMAN Uncharacterized protein OS=Homo sapiens PE=2 SV=1;>tr|A4D104|A4D104_HUMAN HCG19535 OS=Homo sapiens GN=LOC401307 PE=2 SV=1	2	1	1	1	13.7	13.7	13.7	11.18	102	102;137	5.4355E-09	NaN	NaN	NaN	0	0	0	0				16	10674	True	10693	12769	23142	23142		
A5PL29;Q9UBC2-3;M0R165;Q9UBC2;Q9UBC2-2;M0R2S2;K7EJR2;M0R330;M0R1V5	A5PL29;Q9UBC2-3;M0R165;Q9UBC2;Q9UBC2-2;M0R2S2	3;3;3;3;3;2;1;1;1	3;3;3;3;3;2;1;1;1	3;3;3;3;3;2;1;1;1	Epidermal growth factor receptor substrate 15-like 1	EPS15L1	>tr|A5PL29|A5PL29_HUMAN EPS15L1 protein OS=Homo sapiens GN=EPS15L1 PE=2 SV=1;>sp|Q9UBC2-3|EP15R_HUMAN Isoform 3 of Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1;>tr|M0R165|M0R165_HUMAN Epidermal growth factor receptor subs	9	3	3	3	9	9	9	66.478	601	601;754;756;864;910;447;79;83;110	1.0853E-08	1.1827	1.0481	27.324	2	7009300	3530000	3479200				17	101;4353;10642	True;True;True	101;4362;10661	114;5197;12733	212;9453;9454;9455;9456;23078	212;9456;23078		
A5YKK6-4;A5YKK6-3;A5YKK6-2;A5YKK6	A5YKK6-4;A5YKK6-3;A5YKK6-2;A5YKK6	2;2;2;2	2;2;2;2	2;2;2;2	CCR4-NOT transcription complex subunit 1	CNOT1	>sp|A5YKK6-4|CNOT1_HUMAN Isoform 4 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1;>sp|A5YKK6-3|CNOT1_HUMAN Isoform 3 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1;>sp|A5YKK6-2|CNOT1_HUMAN Isoform 2 of CCR4-NOT t	4	2	2	2	1.5	1.5	1.5	173.79	1551	1551;2150;2371;2376	5.619E-06	NaN	NaN	NaN	1	3391700	1671700	1720100				18	5987;8228	True;True	5997;8241	7231;9880	13132;17795	13132;17795		
A8MU28;Q13564-2;Q13564;A6NCK0;H3BMR3;J3QLH4;J3QRA5;J3KTE3	A8MU28;Q13564-2;Q13564;A6NCK0	3;3;3;3;1;1;1;1	3;3;3;3;1;1;1;1	3;3;3;3;1;1;1;1	NEDD8-activating enzyme E1 regulatory subunit	NAE1	>tr|A8MU28|A8MU28_HUMAN NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens GN=NAE1 PE=2 SV=1;>sp|Q13564-2|ULA1_HUMAN Isoform 2 of NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens GN=NAE1;>sp|Q13564|ULA1_HUMAN NEDD8-activating enzyme	8	3	3	3	9.7	9.7	9.7	50.624	445	445;528;534;537;109;112;124;130	2.5891E-09	0.84042	0.69703	3.6845	2	25867000	14186000	11681000				19	2412;6759;12399	True;True;True	2419;6769;12419	2883;8173;14864	5178;5179;5180;14827;27132	5178;14827;27132		
A6NCN2;F5GYI5;CON__Q61726;O43790;CON__O43790;P78385;CON__Q6NT21;CON__P78385;Q14533;CON__Q14533;P78386;CON__P78386	A6NCN2;F5GYI5;CON__Q61726;O43790;CON__O43790;P78385;CON__Q6NT21;CON__P78385;Q14533;CON__Q14533;P78386;CON__P78386	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1	Keratin-81-like protein KRT121P;Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb3;Keratin, type II cuticular Hb1;Keratin, type II cuticular Hb5	KRT121P;KRT85;KRT86;KRT83;KRT81	>sp|A6NCN2|K121P_HUMAN Keratin-81-like protein KRT121P OS=Homo sapiens GN=KRT121P PE=5 SV=4;>tr|F5GYI5|F5GYI5_HUMAN Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=2 SV=1;>Q61726 TREMBL:Q61726 Tax_Id=10090 Gene_Symbol=5430421N21Rik Keratin type 	12	1	1	1	3.1	3.1	3.1	29.117	255	255;295;479;486;486;493;493;493;505;505;507;507	0.0096428	NaN	NaN	NaN	0	5757700	0	5757700			+	20	223	True	223	257	482	482		
Q7LGA3-3;Q7LGA3-2;A6ND99;Q7LGA3	Q7LGA3-3;Q7LGA3-2;A6ND99;Q7LGA3	1;1;1;1	1;1;1;1	1;1;1;1	Heparan sulfate 2-O-sulfotransferase 1	HS2ST1	>sp|Q7LGA3-3|HS2ST_HUMAN Isoform 3 of Heparan sulfate 2-O-sulfotransferase 1 OS=Homo sapiens GN=HS2ST1;>sp|Q7LGA3-2|HS2ST_HUMAN Isoform 2 of Heparan sulfate 2-O-sulfotransferase 1 OS=Homo sapiens GN=HS2ST1;>tr|A6ND99|A6ND99_HUMAN Heparan sulfate 2-O-sulfot	4	1	1	1	3.9	3.9	3.9	26.757	229	229;303;322;356	0.0061724	NaN	NaN	NaN	1	6019900	1469500	4550400				21	7390	True	7402	8896	16047	16047		
A6NDG6	A6NDG6	1	1	1	Phosphoglycolate phosphatase	PGP	>sp|A6NDG6|PGP_HUMAN Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	1	1	1	1	4.4	4.4	4.4	34.006	321	321	0.0049948	NaN	NaN	NaN	1	8940700	3926000	5014800				22	1202	True	1207	1417	2557	2557		
Q01534;P0CV98;A6NKD2;A6NDJ3;F8VZD1;P0CW01;P0CW00;P0CV99;F5H0K5;Q01534-2;F2Z2I4;A6NGT6;A6NEC3;H7BXJ3;F5H122;A6NGL4;C9JPU3	Q01534;P0CV98;A6NKD2;A6NDJ3;F8VZD1;P0CW01;P0CW00;P0CV99;F5H0K5;Q01534-2;F2Z2I4;A6NGT6;A6NEC3;H7BXJ3;F5H122;A6NGL4	4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1	4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1	4;4;4;4;4;4;4;4;4;3;3;3;3;3;2;2;1	Testis-specific Y-encoded protein 1;Testis-specific Y-encoded protein 3;Testis-specific Y-encoded protein 2;Testis-specific Y-encoded protein 10;Testis-specific Y-encoded protein 8;Testis-specific Y-encoded protein 4	TSPY1;TSPY3;TSPY2;TSPY8;TSPY10;TSPY4	>sp|Q01534|TSPY1_HUMAN Testis-specific Y-encoded protein 1 OS=Homo sapiens GN=TSPY1 PE=1 SV=4;>sp|P0CV98|TSPY3_HUMAN Testis-specific Y-encoded protein 3 OS=Homo sapiens GN=TSPY3 PE=2 SV=1;>sp|A6NKD2|TSPY2_HUMAN Testis-specific Y-encoded protein 2 OS=Homo s	17	4	4	4	22.4	22.4	22.4	35.012	308	308;308;308;308;313;314;314;314;314;294;294;294;300;308;206;294;146	2.9307E-11	0.45908	0.37495	28.748	3	74575000	49534000	25041000				23	978;3023;4583;7726	True;True;True;True	982;3030;4592;7739	1161;3587;5488;9279	2109;2110;6432;9980;9981;16723;16724;16725	2109;6432;9981;16725		
A6NL93;P05114;A6NEL0	A6NL93;P05114;A6NEL0	3;3;3	3;3;3	3;3;3	Non-histone chromosomal protein HMG-14	HMGN1	>tr|A6NL93|A6NL93_HUMAN Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=2 SV=1;>sp|P05114|HMGN1_HUMAN Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=1 SV=3;>tr|A6NEL0|A6NEL0_HUMAN Non-histone chromosomal protein HMG-1	3	3	3	3	37.8	37.8	37.8	9.5355	90	90;100;116	2.5125E-10	1.2028	1.0496	13.255	2	17093000	7065700	10027000				24	2232;8695;8696	True;True;True	2238;8709;8710	2677;10413;10414	4783;18818;18819;18820;18821;18822	4783;18821;18822		
B1AK81;B4E2M3;A6NEM5;Q92643	B1AK81;B4E2M3;A6NEM5;Q92643	1;1;1;1	1;1;1;1	1;1;1;1	GPI-anchor transamidase	PIGK	>tr|B1AK81|B1AK81_HUMAN GPI-anchor transamidase OS=Homo sapiens GN=PIGK PE=2 SV=1;>tr|B4E2M3|B4E2M3_HUMAN GPI-anchor transamidase OS=Homo sapiens GN=PIGK PE=2 SV=1;>tr|A6NEM5|A6NEM5_HUMAN GPI-anchor transamidase OS=Homo sapiens GN=PIGK PE=2 SV=1;>sp|Q92643	4	1	1	1	4	4	4	34.313	301	301;319;332;395	3.24E-06	NaN	NaN	NaN	1	5652600	2173900	3478800				25	8513	True	8526	10204	18421	18421		
Q8IZP0-11;Q8IZP0-10;Q8IZP0-8;F5H1G9;Q8IZP0-7;F8WA55;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;F8WA56;Q8IZP0-12;Q8IZP0;A6NFN2	Q8IZP0-11;Q8IZP0-10;Q8IZP0-8;F5H1G9;Q8IZP0-7;F8WA55;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;F8WA56;Q8IZP0-12;Q8IZP0;A6NFN2	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	Abl interactor 1	ABI1	>sp|Q8IZP0-11|ABI1_HUMAN Isoform 11 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>sp|Q8IZP0-10|ABI1_HUMAN Isoform 10 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>sp|Q8IZP0-8|ABI1_HUMAN Isoform 8 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>tr|F5H1G9|F5H1G9_	16	1	1	1	4.9	4.9	4.9	35.92	329	329;388;393;394;422;423;446;451;452;476;480;481;482;496;508;509	8.6881E-05	NaN	NaN	NaN	1	4728300	2031900	2696400				26	271	True	271	311	578	578		
